,CLIENT NAME,CLIENT_LOCATION,REVIEW_TITLE,REVIEW_PARAGRAPH,REVIEW_SCORE,CLIENT_REVIEW_COUNT
14,Mb,FR,Au top Nintendo Switch,"Un super accueil, la switch de mon fils avait le connecteur de charge cassé j’allais en racheter une donc 300 balles à donner et j’ai cherché avant pour la faire réparer je suis tombée sur Gamefix et 99 euros plus tard avec la possibilité de suivre l’avancée des réparations la switch est comme neuve avec une garantie de six mois ! Et nous sommes repartis avec des conseils en plus ! Donc je recommande +++",Rated 5 out of 5 stars,1 review
15,Papa amadou Niang,FR,EXCELLENT...Rapide....Efficace....Pro.,EXCELLENT...Rapide....Efficace....Pro.Merci,Rated 5 out of 5 stars,3 reviews
16,Stéph Ane,FR,Super réparation de ma manette ps4 je…,Super réparation de ma manette ps4 je recommande,Rated 5 out of 5 stars,1 review
17,Adrian T,FR,Complicated fix to video chip PS4,Complicated fix to video chip on motherboard succeeded....PS4 saved. Price was as quoted. Service kept us informed on progress during whole process.,Rated 5 out of 5 stars,1 review
18,Slama,FR,Au top tres professionnel,None,Rated 5 out of 5 stars,1 review
19,Samuel,FR,Satisfait,"J'ai ramené ma console  chez Gamefix pour un changement de disque dur. Tout c est bien passé, l'équipe est très aimable et à l'écoute.  Je suis très satisfait.",Rated 5 out of 5 stars,1 review
20,DZIECIOL FRANCK,FR,Vraiment très professionnel et rapide…,Vraiment très professionnel et rapide poster le lundi ps5 réparer et recue samedi. Bravo,Rated 5 out of 5 stars,2 reviews
21,M Ziata,FR,Rapide excellent,Je conseille diagnostic le lendemain  Excellent travail rapide accueil accueillant Cordialement,Rated 5 out of 5 stars,2 reviews
22,Yannick MORTINIERA,FR,Excellent travail,None,Rated 5 out of 5 stars,1 review
23,Sarl PSPP LAB,FR,Bonjour à tous j’avais un problème de…,Bonjour à tous j’avais un problème de recharge sur ma nintendo switch le devis a été immédiat et le suivi de l’envoi ainsi que la réparation très rapide.,Rated 5 out of 5 stars,2 reviews
24,Cindy Li,FR,Équipe au top,Équipe au top. Réparation Nintendo switch rapide (3 jours) et en plus garantie 6 mois.Juste merciiiii,Rated 5 out of 5 stars,1 review
25,MAD,FR,Excellent service,None,Rated 5 out of 5 stars,1 review
26,Aline Duby,FR,Service de réparation rapide,"Service de réparation rapide,  efficace, équipe aimable et de bons conseils. Merci 👍🏻",Rated 5 out of 5 stars,1 review
27,Tristan Lemeau,FR,Première expérience très satisfaisante …,"Première expérience pour la réparation de ma Switch, très professionnel, équipe à l’écoute, une semaine entre l’envoi et la réception, tout fonctionne parfaitement je recommande fortement !",Rated 5 out of 5 stars,1 review
28,Salman Sohbi,YT,C'est parfait et la répèration a été…,C'est parfait et la répèration a été fait rapidement je vous remercie.,Rated 5 out of 5 stars,1 review
29,MORGAN BABOULENE,FR,Intervention rapide conforme au devis…,"Intervention rapide conforme au devis annoncé, rien à redire, parfait",Rated 5 out of 5 stars,1 review
30,Simba Lion,FR,Super service avec Dylan,"Super service avec Dylan, rapidité efficacité. Et surtout l’honnêteté professionnel /client.",Rated 5 out of 5 stars,1 review
31,MK,FR,SERIEUX,"Rapidité, professionnalisme et très bon travail",Rated 5 out of 5 stars,2 reviews
32,Laetitia Lala,FR,Service super,Je recommande! Service très rapide et très sérieux vraiment satisfaite.,Rated 5 out of 5 stars,1 review
33,Dewey,FR,Très rapide,Très rapide. J'ai donné ma ps5 le lundi pour un PB de lecteur et je l'ai récupéré le mercredi.,Rated 5 out of 5 stars,1 review
34,Bastien,FR,Parfait de A à Z !!,Parfait de A à Z !!Ma PS4 à été réparée correctement !,Rated 5 out of 5 stars,1 review
35,laetitia Bismuth,FR,Parfait,Parfait. Très bon accueil,Rated 5 out of 5 stars,5 reviews
36,Farhat Fourti,FR,Bravo ce bien passé,Bravo excellente,Rated 5 out of 5 stars,1 review
37,Emmanuel Lauras,FR,PS5 envoyé et reçu réparer en 3 fois…,PS5 envoyé et reçu réparer en 3 fois moins de temps que le SAV de la marque et au même tarif.Excellent suivi en prime,Rated 5 out of 5 stars,2 reviews
38,Grobost Marion,FR,Efficace,"Tres simple. Super conseil téléphonique.  Réparation et retour très rapide,  moins de 6 jours.",Rated 5 out of 5 stars,3 reviews
39,Thierry Rezac,FR,La qualité de votre travail et…,"La qualité de votre travail et excellente. Je vous remercie d'avoir réparé la switch de mon fils Owayne.Mercier encore, cordialementThierry.",Rated 5 out of 5 stars,1 review
40,Luminox Awoken,FR,Réparation efficace,J’ai fait plusieurs km pour venir jusque ici ( de Villeneuve la garenne jusqu’à Porte d’Italie) et cela en valait vraiment la peine.Service pas cher et rapide et ma permis aussi d’éviter de dépenser 50€ dans une manette.,Rated 5 out of 5 stars,1 review
41,andy,FR,Je recommande sincèrement GAMEFIX,Je recommande sincèrement GAMEFIX. ils ont réparé mon Xbox serie x  en seulement 3 jours.top!top!top!,Rated 5 out of 5 stars,1 review
42,Christ Gar,FR,Rapide / efficace/ procédure ultra…,Rapide / efficace/ procédure ultra simplifiée Peut être plus de détail sur la réparation effectuée…,Rated 5 out of 5 stars,3 reviews
43,Amel Malki,FR,Vraiment bravo je suis très satisfaite…,Vraiment bravo je suis très satisfaite je conseil vraiment GAMEFIX pour leur professionnalisme et leur rapidité à réparer  la ps4 de mon fils,Rated 5 out of 5 stars,1 review
44,Olivier,FR,Suite à ma demande de devis en ligne,"Suite à ma demande de devis en ligne, appel téléphonique pour confirmation du problème. Puis dépôt en magasin chez game2game pour une prise en charge avant de bonnes explications. Diagnostic fait en 1 journée et réparation en 2 jours (changement bloc alimentation Ps4).A la récupération au magasin, de nouveaux bonnes explications.",Rated 5 out of 5 stars,1 review
45,Consumer,FR,Très correcte et rapide j’ai hue un…,Très correcte et rapide j’ai hue un problème avec ma ps5 en 4 jour ils a étais réglé 👍,Rated 5 out of 5 stars,3 reviews
46,Chopin Nicolas,FR,Rapidité et accueil chaleureux,Rapidité et accueil chaleureux ! Après diagnostic vous ne tarderez pas à recevoir votre Nintendo en bonne état ! N'hésitez pas à dépenser 9.99 pour les frais d'expédition ! Conditionnez vous même le paquet-votre principale contribution après le règlement modique de la répartition- Pour un peu moins de 50euros votre satisfaction est garantie!,Rated 5 out of 5 stars,1 review
47,Céline Dupré,FR,Accueil et efficacité,"Accueil toujours  agréable. De vrais professionnels rapide, efficace et honnête. Nous sommes toujours satisfaits des réparations.",Rated 5 out of 5 stars,2 reviews
48,Arnould,FR,Réparation rapide!,"Prise en charge et réception de devis rapide. Suite à la réception du devis sans explication juste avec le prix, je vous conseille donc de demander un appelle pour être sûr de ce que votre console aura. nous avons fait confiance. La réparation et réception s’est fait très rapidement.",Rated 4 out of 5 stars,1 review
49,Hassan El,FR,La PS4 marche parfaitement les…,La PS4 marche parfaitement les réparateurs sont vraiment des professionnels La réparation a été faite très rapidement ainsi que l'envoi par Chronopost et tout ça a un prix qui défient toute concurrence.Je vous conseille fortement c'est professionnel.,Rated 5 out of 5 stars,3 reviews
50,Laurent  camus,FR,Rapide et efficace,None,Rated 5 out of 5 stars,1 review
51,Fred B,FR,Je suis venu pour un problème sur une ps4,"Je suis venu pour un problème sur une PS4 pro, par téléphone on m’avait évoqué un problème de carte graphique, réparation à prévoir autour de 90€… Arrivé sur place, on me pose les bonnes questions, la personne effectue des tests et au final c’était simplement un problème de câble d’origine. Merci pour votre honnêteté et votre efficacité, si je devais rencontrer un nouveau souci sur ma PS4, je reviendrai en toute confiance.",Rated 5 out of 5 stars,1 review
52,Livai,FR,Superbe accueil,Superbe accueil ! Vendeur honnête mon jeux était bloquer dans la ps5 il me l’on débloqué gratuitement et me l’on pas prise en charge merci à dylan,Rated 5 out of 5 stars,1 review
53,Andrea  Parenti,FR,Play réparer socle rendu avec tout…,Play réparer socle rendu avec tout casser,Rated 4 out of 5 stars,1 review
54,Ilyas El Asmar,FR,La PS4 marche parfaitement les…,La PS4 marche parfaitement les réparateurs sont vraiment des professionnels La réparation a été faite très rapidement ainsi que l'envoi par Chronopost et tout ça a un prix qui défient toute concurrence.Je vous conseille fortement c'est professionnel.,Rated 5 out of 5 stars,2 reviews
55,Anthony GILBERT,FR,Parfait et rapide,"Parfait, dès la réception du colis, la réparation s’est faite dans la demi-journée!",Rated 5 out of 5 stars,1 review
56,krl os,FR,Ps4 fat hs,"J’y suis allé pour un soucis sur une ps4 fat. Réparation effectuée en moins d’une semaine. Top service et très bon accueil. Allez y, n’hésitez pas!",Rated 5 out of 5 stars,1 review
57,SERTELCOM,FR,Panne lecteur BLUE-RAY,Récupération au bout de 4 jours de ma XBOX ONE avec changement du lecteur Blu-Ray. Marche impeccable !!Réactif et sympa !! Seul bémol :Pour se garer la galère!!.,Rated 5 out of 5 stars,4 reviews
58,Nicolas Chopin,FR,Rapidité et efficacité,Rapidité et efficacité. N'hésitez pas à payer les frais d'expédition aller-retour de 9.99e.Ensuite tout n'est que détail dans l'évaluation et le devis de la panne à accepter en toute confiance ! Après les pleurs de votre enfant le ça marche étonné et l'avis du pro: le meilleur réparateur !,Rated 5 out of 5 stars,2 reviews
59,Jordan B,FR,"2 mois, 100 Euro et une console toujours pas fonctionelle","Le titre est assez clair mais je vais tout de même étoffer :Je suis venu fin février pour un Xbox One X qui s'éteint après quelques minutes d'activité. Au bout de quelques jours le diagnostique prévoit un rebillage, soit, j'accepte et récupère ma console quelques jours plus tard.La console s'éteint toute seule après 3 minutes, du coup retour à la case départ je ramène la console pour un SAV ""en urgence"". Après 5 semaines supplémentaires et de nombreuses relances, GAMEFIX abandonne et me rend ma console défectueuse avec un câble d'alimentation différent.Donc après 2 mois, 100 Euro et moult heures perdues dans les transports parisiens plus tard... je peux difficilement vous recommander GAMEFIX.Edit : ""d'autant plus que lorsque vous avez été récupérer la console au point partenaire, non seulement elle a été allumée sous vos yeux pour vous montrer qu'elle fonctionne, mais en plus vous avez été joint personnellement par l'atelier pour vous donner toutes les explications nécessaires et la marche à suivre si l'extinction se reproduisait chez vous."" Tout ceci est faux. La console m'a été rendue avec un câble c'est vrai, mais sans l'allumer et je n'ai jamais été contacté par Gamefix ni Game2Game. Les communication téléphoniques ont toujours été faites à mon initiative, pour des relances.Aucune mauvaise foi, juste un récapitulatif des faits.",Rated 1 out of 5 stars,1 review
60,loic urie,FR,Réparation très rapide,"Réparation très rapide , au top !!!",Rated 5 out of 5 stars,1 review
61,ARMEL PASQUEREAU,FR,Pour l'instant Satisfait,Pour l'instant Satisfait. Ma console ne fait plus aucun bruit et plus de surchauffe,Rated 5 out of 5 stars,1 review
62,Client,FR,dd xbox one s HS,"suite à un problème de disque dure sur une xbox one Sj'ai fait appel à gamefix pour la réparation, je suis de lille et honnêtement tout c'est très bien passé que ce soit l'envoi la réparation et le retour rien à dire.",Rated 5 out of 5 stars,5 reviews
63,Morgane.L,FR,PS5 ne démarré plus réparation super…,PS5 ne démarré plus réparation super rapide retour en moins de 15 jours et prix très correct !!! Merci à eux !,Rated 5 out of 5 stars,6 reviews
64,Danos,FR,"Super,HDMI changė en 3 jours,vendeur…","Super,HDMI changė en 3 jours,vendeur symp:))",Rated 5 out of 5 stars,1 review
65,Titouan  Bariou,FR,Très pro,"Très proGame2game au KB une équipe super sympa qui nous a donné de bons conseils La PS re fonctionne , pas de mauvaises surprises sur le prix!!!Au top",Rated 5 out of 5 stars,1 review
66,Mélisande Royer,FR,5 Sterne verdient Top,None,Rated 5 out of 5 stars,2 reviews
67,Mirek,FR,Excellent,"Service excellente. Envoié une xbox one s avec une probleme a l'antenne wi fi. J'ai payé 70€ avec service colissimo a/r. Du moment que j'ai envoié ma console, 7 jours apres exactement j'avais deja ma consolle a la maison. Et fonctionnante. Quoi dir de plus. Parfait. Et merci.",Rated 5 out of 5 stars,1 review
68,Jean luc,FR,Rapide efficace et prévenant.,None,Rated 5 out of 5 stars,3 reviews
69,mohamed ali hanchi,FR,Professionnels,"Très accueillants, professionnels et rapides.Merci",Rated 5 out of 5 stars,1 review
70,Maryse Camier,GP,Excellent à tout point de vue,Excellent à tout point de vue. Rapidité du diagnostic. Test de la Ps4. Pas de frais car pas de réparation nécessaire. Contact impeccable. A recommander,Rated 5 out of 5 stars,2 reviews
71,Matthieu Valerin,FR,J’y vais car je croyais que le…,"J’y vais car je croyais que le Bluetooth de ma PS4 était HS, à l’accueil on me dit que cela vient sûrement du câble et qu’il n’y aura pas besoin de réparer, ils ont synchronisés ma manette avec leur câble et le tout gratuitement ! Des pros ça a pris moins de 5 mn",Rated 5 out of 5 stars,1 review
72,elodie texier,FR,Rapide et efficace,None,Rated 5 out of 5 stars,3 reviews
73,Jeremy,FR,Je recommande fortement gamefix,Je recommande fortement gamefixTravaille rapide et soignéRemplacement port HDMI Xbox série xMerci beaucoup 😊,Rated 5 out of 5 stars,1 review
74,Robert,FR,Comme d'habitude super service et…,Comme d'habitude super service et rapide.A recommander sans soucis .,Rated 5 out of 5 stars,2 reviews
75,Nelly,FR,Bonne communication,"Bonne communication. Switch réparée en un temps records, merci",Rated 5 out of 5 stars,2 reviews
76,Raphael,FR,Disque dur changé sur la xbox digital,Disque dur changé sur la xbox digital. Service rapide et efficace merci!,Rated 5 out of 5 stars,1 review
77,Ouarda Beddiaf,FR,Très bonne accueil service rapide…,Très bonne accueil service rapide confiance mon fils il casse gamefix repare 🤭🥰,Rated 5 out of 5 stars,1 review
78,Lionnesta,FR,Accueil formidable comme des…,Accueil formidable comme des professionnels...je conseil à toute personne ayant un problème sur leur console. Réparation rapide.,Rated 5 out of 5 stars,1 review
79,ixno_benji galici,FR,Il sont Top rien Dire,Il sont Top rien DireBravo,Rated 5 out of 5 stars,1 review
80,Audrey Chevillard,FR,Équipe super sympa,Équipe super sympaTravail rapide efficace et propreMerci beaucoup,Rated 5 out of 5 stars,1 review
81,JACINTO OLIVEIRA REBELO,FR,Travail rapide et soigné,Travail rapide et soigné. Je recommande,Rated 5 out of 5 stars,1 review
82,alik Mlf,FR,Ils gèrent surtout Dylan 🤙🏼,None,Rated 5 out of 5 stars,1 review
83,Assilenou toviave,FR,Très bon retour,Très bon retour. Ma PS4 remarche comme neuf.,Rated 5 out of 5 stars,1 review
84,Johan,FR,Bonjour je recommande fortement gamefix,"Bonjour je recommande fortement gamefix. Ma ps5 était tombé en panne. Je les confié à gamefix par voie postale, je les réceptionne aujourd'hui, le délai d'attente ultra rapide une semaine seulement elle refonctionne parfaitement, elle est comme neuve. L'équipe gamefix et vraiment sérieuse. La prise en charge et rapide ont et tenu au courant de chaque étape. Vraiment très professionnels, merci à l'équipe gamefix",Rated 5 out of 5 stars,1 review
85,chrystophe,FR,Meilleur service réparation en 3 jour,None,Rated 5 out of 5 stars,1 review
86,yaya,FR,"Efficace, j'adopte","Rapide, compétent,agréable, commercial bref efficace.",Rated 5 out of 5 stars,1 review
87,Florent B,FR,Service à recommander,"Service très bien rodé, très bon suivi, réparation et renvoi très rapide. A recommander",Rated 5 out of 5 stars,4 reviews
88,JEAN PAUL,FR,Excellentissime,"Excellentissime ! Mais quel professionnalisme, je n’ai pas de mots tellement je suis satisfait du résultat de la réparation de ma ps4 fat. En plus service ultra rapide ! Je vais donc en parler à tout mon entourage. Je recommande absolument ! Encore merci !",Rated 5 out of 5 stars,3 reviews
89,AURELIE Carcanague-Schneider,FR,Rapide et efficace merci,Rapide et efficace mercia répondu à mes attentes,Rated 5 out of 5 stars,1 review
90,BRANDT Sonia,FR,Merci pour ce sérieux et cette…,Merci pour ce sérieux et cette réactivité.Je recommande vivement.,Rated 5 out of 5 stars,1 review
91,Michael C.,FR,Société ultra rapide,"Société ultra rapide , disponible par téléphone à la moindre question !A conseillé vivement",Rated 5 out of 5 stars,3 reviews
92,Antoine LEBLOND,FR,Excellent service rapide et efficace,None,Rated 5 out of 5 stars,3 reviews
93,Myke,FR,Réparation impeccable,"Réparation impeccable, accueil et service très professionnel, je recommande vraiment le magasin.",Rated 5 out of 5 stars,1 review
94,Karim Boutiche,FR,Excellent parfait  je conseille…,Excellent parfait  je conseille fortement Des professionnels à l écoute Merci beaucoup,Rated 5 out of 5 stars,2 reviews
95,Tarek Soualah,DZ,Top!!!,Service top!!!,Rated 5 out of 5 stars,1 review
96,jean michel VINEL,FR,trés bon service,None,Rated 5 out of 5 stars,1 review
97,Stef Waffenstef,FR,Réparation d'une PS4 Slim,Tout est bien expliqué et très transparent. Il est juste dommage de ne pas avoir une facture avec les pièces remplacées dans le colis de retour.,Rated 5 out of 5 stars,1 review
98,Stephane Deshayes,FR,Deuxième fois que je passe par eux et…,"Deuxième fois que je passe par eux et toujours très satisfait.Écran cassé Nintendo me demandais plus de 150 EUR et gamefix me l'a fait pour 89 EUR.Très content, je recommande.",Rated 5 out of 5 stars,2 reviews
99,Arnaud Pauthonnier,FR,Rapide clair et efficace,Rapide clair et efficace. Pas de soucis depuis ..,Rated 5 out of 5 stars,2 reviews
100,Elodie ERHARD,FR,Suivi et prise en charge rapide,"Prise en charge rapide, on sait en temps réel ce qui se passe pour notre matériel. J avais une appréhension en envoyant la switch mais je ne suis pas déçue ! Le petit plus serait un retour un peu petit plus détaillé sur le problème rencontré. Mais sinon je recommencerai en cas de panne !!!",Rated 5 out of 5 stars,1 review
101,Ramush Haliti,FR,Tres professionnels rapidité je vous…,Tres professionnels rapidité je vous conseille,Rated 5 out of 5 stars,2 reviews
102,Stephane  paulais,FR,Très bien,Très bien bien réparé,Rated 5 out of 5 stars,1 review
103,BRIGITTE Pichois,FR,Rapide efficace sympathique pro,None,Rated 5 out of 5 stars,1 review
104,annabelle madinska,FR,Service super rapide je suis vraiment…,Service super rapide je suis vraiment ravie je recommande vivement 👏,Rated 5 out of 5 stars,1 review
105,jean hugues boyer,FR,Parfait,"Rapide, efficace et parfait",Rated 5 out of 5 stars,1 review
106,Jean sauvage,FR,Réparation rapide,None,Rated 5 out of 5 stars,1 review
107,Joey Phok,FR,J'ai fais appel à Gamefix pour réparer…,"J'ai fais appel à Gamefix pour réparer la switch de mon fils qui marchait plus sur la télé, et tout refonctionne comme avant , un grand merci à toute l'équipe Gamefix pour leurs compétences et leur professionnalisme ⭐⭐⭐⭐⭐⭐ je suis vraiment satisfait 😃😃",Rated 5 out of 5 stars,1 review
108,Valentin Robin,FR,Comment dire,"Comment dire ? Le service est tout simplement excellent, les gens hyper cool, très sympa.Parfait !!",Rated 5 out of 5 stars,2 reviews
109,PERRON,FR,Très heureuse du sérieux et de la…,Très heureuse du sérieux et de la rapidité de votre engagement. Cette réparation est un succès.Merci à toutes vos équipes.,Rated 5 out of 5 stars,1 review
110,GENESYS_GAMING,FR,Rien à dire très rapide 3 jour…,Rien à dire très rapide 3 jour impeccable 👌🏾,Rated 5 out of 5 stars,1 review
111,Alice,FR,Service très pro,Service très pro. Entièrement satisfait.Merci beaucoup,Rated 5 out of 5 stars,1 review
112,Amine,FR,Suite devis sur internet prise en…,Suite devis sur internet prise en charge parun conseillerpar téléphone et réception immédiate du mail avec coordonnées de livraison et de paiement.Article rapidement réparé et livré en moins d une semaine,Rated 5 out of 5 stars,1 review
113,Barbara Quintin Blanchard,FR,Site hyper pro ergonomique et au top,None,Rated 5 out of 5 stars,1 review
114,Maïté JACQUIER,FR,Vraiment très pros et rapide,Vraiment très pros et rapide. Merci pour Ma puce.,Rated 5 out of 5 stars,2 reviews
115,Melanie Depoilly,FR,Parfait je recommande,Parfait prix raisonnable je recommande,Rated 5 out of 5 stars,1 review
116,Maixent Koumou,FR,Parfait,Parfait. Travail bien fait,Rated 5 out of 5 stars,1 review
117,barbara Quintin blanchard,FR,Site ergonomique,Site ergonomique Prise en charge rapide Suivi pas a pasTout re fonctionne Vraiment bien !,Rated 5 out of 5 stars,1 review
118,laromanie robin,FR,Très satisfait du service.,None,Rated 4 out of 5 stars,4 reviews
119,M. o,DE,Service rapide et efficace,"Service rapide et efficace, console envoyé un lundi reçue le samedi d'après réparée et fonctionnelle.  Le prix est un peu élevé mais moins cher tout de même que chez Microsoft (99€+ 9,99€ de frais d'envois) ceci dit, il a permet d'éviter de mettre au rebut le matériel. En tout cas c'est une entreprise fiable et le travail est garanti 6 mois.",Rated 5 out of 5 stars,1 review
120,Julien MESSERLY,FR,Très bonne expérience,Très bonne expérience. Nous avons eu affaire à Gamefix à deux reprises pour la switch de notre fille. Ils sont très compétents et les prix sont raisonnables. Enfin un service qui répare les consoles.,Rated 5 out of 5 stars,1 review
121,Alan Vincent,FR,Entreprise très sérieuse je suis très…,Entreprise très sérieuse je suis très satisfait réparation rapide et efficace,Rated 5 out of 5 stars,1 review
122,Stephane Paulais,FR,Merci super rapidité,None,Rated 5 out of 5 stars,1 review
123,Zera  İnan,FR,Satisfait rapide et suivi correct je…,Satisfait rapide et suivi correct je recommande vivement 👍👍👍,Rated 5 out of 5 stars,1 review
124,STREIFF Valentin,FR,Très très satisfait du…,Très très satisfait du professionnalisme dont les équipes font preuve !Ma PS5 est revenu comme neuve.,Rated 5 out of 5 stars,1 review
125,Stéphane P.,FR,"Très bonne expérience, très compétents et rapides.","Ma PS4 pro est tombée en panne. Ce qui nous a bien embêté car finalement, nous nous en servons beaucoup et pour beaucoup de choses.J'ai cherché autour de chez moi un réparateur et force est des constater qu'il n'y en a pas. Ni les réparateurs en informatique, ni les magasins spécialisées en jeux vidéos, n'ont de possibilité de nous aider. Sony me proposait un échange de console (reconditionnée) pour 200€.En cherchant sur internet, je suis tombé sur Gamefix. Malgré les bons avis, j'étais perplexe. N'habitant pas en Ile de France, je ne pouvais pas me déplacer. Envoyer ma console par colis à des gens que je ne connais pas et  dont je ne suis pas certain de l'existence, je n'étais pas fan.J'ai tout de même tenté une demande de devis sur le site et ai été rapidement rappelé par une gars que j'ai trouvé très compétent. J'ai donc décidé d'envoyer ma console par colis comme proposé par le site.Deux jours après, on m'envoyait un mail et un sms pour me dire ce qui n'allait pas et combien ça comptait de la réparer. J'ai demandé à être rappelé pour plus de précision, ce qui a été fait dans la journée. Avec en prime, quelques bons conseils pour bien entretenir ma console.J'ai donné mon accord pour une réparation et ma console m'a été retournée assez rapidement aussi. En tout, cela a pris moins d'une semaine. Je ne dirais pas ""vivement la prochaine fois"", mais il est certain que si par malheur, j'ai de nouveau un soucis avec une console, je leur confirais sans hésiter.",Rated 5 out of 5 stars,2 reviews
126,orfane Sahidibe,FR,Super service,None,Rated 5 out of 5 stars,1 review
127,ROGER Priscilla,FR,Dépannage de ma nintendo switch,"Dépannage de ma nintendo switch. Rappel rapide pour vérifier diagnostique et répondre aux questions. Envoi facile. Suivi de la livraison, de la réparation et du renvoie très appréciable tous les jours. Simple, rapide et efficace",Rated 5 out of 5 stars,3 reviews
128,Virginie Verriere,FR,Tout est ok,"Tout est ok,merci",Rated 4 out of 5 stars,1 review
129,Mohamed,FR,Super équipe !bon travail dans le temps…,Super équipe !bon travail dans le temps prévu,Rated 5 out of 5 stars,1 review
130,Mickaël,FR,Je conseille vraiment j’ai réparé ma…,"Je conseille vraiment j’ai réparé ma PS4 car elle surchauffé trop c’était trop bruyant. au bout de même pas 4&amp;5 jours de réparations, elle est parfaite aucun bruit rien vraiment je conseille",Rated 5 out of 5 stars,1 review
131,Philippe,FR,Efficace et rapide,"Efficace et rapide. J'ai envoyé ma PS4 à réparer chez Gamefix. J'ai reçu rapidement toutes les infos pour envoyer ma console. Leur outil de suivi est tres efficace. On sait exactement où est la console. ET le diagnostique, la réparation et la réexpédition ont été faites super rapidement. Ma console fonctionne a nouveau. Je recommande Gamefix .",Rated 5 out of 5 stars,1 review
132,olivier CHON,FR,efficace professionnel  au top merci,None,Rated 5 out of 5 stars,1 review
133,Milourou,FR,Professionnalisme assuré,Professionnalisme assuré. Accueil au top. Personne tres sympa. Ma PS5 avec un problème d’alimentation. Elle fut réparée en 24h.,Rated 5 out of 5 stars,1 review
134,Nathan Lefebvre,FR,J'ai envoyé ma ps5 chez eux après avoir…,"J'ai envoyé ma ps5 chez eux après avoir emmener chez un réparateur de ma ville, qui m'a dit qu'elle était morte. Résultats j'ai récupéré la console et fonctionnelle. Au top je recommande vraiment. Rapport prix qualité prise en charge et renvoie, rien à dire.",Rated 5 out of 5 stars,1 review
135,CEDRIC CEDRIC DAUDE,FR,Équipe redoutable d'efficacité,Équipe redoutable d'efficacité du devis au diagnostic en passant par la réparation et le retour du matériel. Là où mon revendeur (micromania) est à la ramasse !!!Ils ont sauvé ma ps5 pour un délai de 1 semaine seulement Je recommande vivement gamefix !!,Rated 5 out of 5 stars,7 reviews
136,Axel Wade FEDAX,FR,Très bonne accueil dans la boutique le…,Très bonne accueil dans la boutique le personnel est souriant et super sympa je suis venue pour réparer ma ps5 sa a pris 3 jour rapide et efficace,Rated 5 out of 5 stars,1 review
137,Hicham,FR,EXPERIENCE TRES POSITIVE ! JE RECOMMANDE A 100 %,"je tiens à remercier sincèrement le Gamefix (game 2 game) du Kremlin bicêtre pour leur accueil et leur professionalisme. Explications claires et honnêtes du problème de ma console qu'ils ont réparé en 1 journée!!finalement j'ai  apprécié la confiance qu'ils accordent à leur client, ils m'ont donné un cable Hdmi que j'avais oublié chez eux . Je recommande fortement ce magasin . Hicham",Rated 5 out of 5 stars,1 review
138,Christopher Borrot,FR,Bonne accueil et compétent,"Bonne accueil, compétent et surtout passionné. Je recommande.CB",Rated 5 out of 5 stars,1 review
